clone_id	SHM	Donor count	Donor	Tissue	Isotype
32082	0.14338235294117646	1	CCM3	Gastric_pylorus	IgM
32083	0.016143911439114388	1	CCM3	Gastric_pylorus	IgM
32089	0.030228758169934644	1	CCM3	Gastric_pylorus	IgM
32101	0.02022058823529412	1	CCM3	Gastric_pylorus	IgM
32851	0.0	1	CCM3	Gastric_pylorus	IgM
32967	0.03956834532374101	1	CCM3	Gastric_pylorus	IgM
33072	0.017985611510791366	1	CCM3	Gastric_pylorus	IgM
33086	0.03237410071942446	1	CCM3	Gastric_pylorus	IgM
33105	0.05755395683453238	1	CCM3	Gastric_pylorus	IgM
33509	0.014388489208633094	1	CCM3	Gastric_pylorus	IgM
33510	0.02564102564102564	1	CCM3	Gastric_pylorus	IgM
33511	0.017985611510791366	1	CCM3	Gastric_pylorus	IgM
33512	0.025179856115107913	1	CCM3	Gastric_pylorus	IgM
35407	0.029304029304029304	1	CCM3	Gastric_pylorus	IgM
36424	0.040145985401459854	1	CCM3	Gastric_pylorus	IgM
36619	0.028985507246376812	1	CCM3	Gastric_pylorus	IgM
37078	0.01838235294117647	1	CCM3	Gastric_pylorus	IgM
37088	0.05755395683453238	1	CCM3	Gastric_pylorus	IgM
39411	0.03690036900369004	1	CCM3	Gastric_pylorus	IgM
40534	0.003663003663003663	1	CCM3	Gastric_pylorus	IgM
40535	0.0	1	CCM3	Gastric_pylorus	IgM
40536	0.003663003663003663	1	CCM3	Gastric_pylorus	IgM
40537	0.007326007326007326	1	CCM3	Gastric_pylorus	IgM
40538	0.01845018450184502	1	CCM3	Gastric_pylorus	IgM
41484	0.0	1	CCM3	Gastric_pylorus	IgM
42175	0.037037037037037035	1	CCM3	Gastric_pylorus	IgM
42503	0.003676470588235294	1	CCM3	Gastric_pylorus	IgM
42754	0.05514705882352941	1	CCM3	Gastric_pylorus	IgM
42800	0.03676470588235294	1	CCM3	Gastric_pylorus	IgM
42854	0.025735294117647058	1	CCM3	Gastric_pylorus	IgM
42855	0.022222222222222223	1	CCM3	Gastric_pylorus	IgM
42856	0.011152416356877323	1	CCM3	Gastric_pylorus	IgM
43052	0.0072992700729927005	1	CCM3	Gastric_pylorus	IgM
44689	0.01818181818181818	2	CCM3	Gastric_pylorus	IgM
45241	0.003703703703703704	2	CCM3	Gastric_pylorus	IgM
47194	0.014705882352941176	1	CCM3	Gastric_pylorus	IgM
47555	0.033582089552238806	1	CCM3	Gastric_pylorus	IgM
48713	0.0149812734082397	1	CCM3	Gastric_pylorus	IgM
49083	0.009876543209876543	1	CCM3	Gastric_pylorus	IgM
49164	0.0	1	CCM3	Gastric_pylorus	IgM
51496	0.03731343283582089	1	CCM3	Gastric_pylorus	IgM
51638	0.011235955056179775	1	CCM3	Gastric_pylorus	IgM
55213	0.025089605734767026	1	CCM3	Gastric_pylorus	IgM
56466	0.014760147601476014	3	CCM3	Gastric_pylorus	IgM
57512	0.03308823529411765	1	CCM3	Gastric_pylorus	IgM
57957	0.06204379562043796	1	CCM3	Gastric_pylorus	IgM
57998	0.029411764705882353	1	CCM3	Gastric_pylorus	IgM
58008	0.1024482161285567	1	CCM3	Gastric_pylorus	IgM
58021	0.07352941176470587	1	CCM3	Gastric_pylorus	IgM
58722	0.026217228464419477	1	CCM3	Gastric_pylorus	IgM
58770	0.09313725490196079	1	CCM3	Gastric_pylorus	IgM
60748	0.03308823529411765	1	CCM3	Gastric_pylorus	IgM
60812	0.018315018315018316	1	CCM3	Gastric_pylorus	IgM
61162	0.05166051660516606	1	CCM3	Gastric_pylorus	IgM
