Vgene	clone_id	Isotype	Sample	Time	Min_num
IGHV4-NL_4	1676228	IgM	data-IgM	76	100
IGHV4-149	893605	IgM	data-IgM	76	100
IGHV4-NL_25	2124446	IgM	data-IgM	76	100
IGHV4-NL_10	260702	IgM	data-IgM	76	100
IGHV4-NL_10	1689548	IgM	data-IgM	76	100
IGHV3-88	1756925	IgM	data-IgM	76	100
IGHV3-152	1317714	IgM	data-IgM	76	100
IGHV4-93	1501156	IgM	data-IgM	76	100
IGHV4-NL_3	718007	IgM	data-IgM	76	100
IGHV4-NL_3	1132559	IgM	data-IgM	76	100
IGHV4-NL_10	968041	IgM	data-IgM	76	100
IGHV3-NL_11	254513	IgM	data-IgM	76	100
IGHV4-NL_27	22791	IgM	data-IgM	76	100
IGHV4-NL_22	1776895	IgM	data-IgM	76	100
IGHV4-NL_29	2233711	IgM	data-IgM	76	100
IGHV2-69	561125	IgM	data-IgM	76	100
IGHV4-NL_36	535241	IgM	data-IgM	76	100
IGHV4-149	2236812	IgM	data-IgM	76	100
IGHV3-9	36871	IgM	data-IgM	76	100
IGHV4-144	1242861	IgM	data-IgM	76	100
IGHV4-93	958583	IgM	data-IgM	76	100
IGHV3-NL_17	678733	IgM	data-IgM	76	100
IGHV4-NL_13	1950950	IgM	data-IgM	76	100
IGHV3-88	1485560	IgM	data-IgM	76	100
IGHV3-NL_19	484624	IgM	data-IgM	76	100
IGHV4-144	1834145	IgM	data-IgM	76	100
IGHV4-NL_33	2131543	IgM	data-IgM	76	100
IGHV4-144	2120342	IgM	data-IgM	76	100
IGHV4-NL_3	1514637	IgM	data-IgM	76	100
IGHV4-NL_9	699486	IgM	data-IgM	76	100
IGHV4-NL_22	446434	IgM	data-IgM	77	100
IGHV1-138	1957109	IgM	data-IgM	77	100
IGHV4-NL_29	666359	IgM	data-IgM	77	100
IGHV4-144	387889	IgM	data-IgM	77	100
IGHV4-144	1667720	IgM	data-IgM	77	100
IGHV3-94	1233943	IgM	data-IgM	77	100
IGHV4-NL_3	168524	IgM	data-IgM	77	100
IGHV4-NL_4	1169306	IgM	data-IgM	77	100
IGHV4-NL_10	1941991	IgM	data-IgM	77	100
IGHV3-177	556816	IgM	data-IgM	77	100
IGHV1-124	588209	IgM	data-IgM	77	100
IGHV4-NL_3	1055038	IgM	data-IgM	77	100
IGHV4-NL_3	584153	IgM	data-IgM	77	100
IGHV4-NL_29	2205209	IgM	data-IgM	77	100
IGHV4-NL_28	706683	IgM	data-IgM	77	100
IGHV4-NL_33	2007534	IgM	data-IgM	77	100
IGHV3-88	74392	IgM	data-IgM	77	100
IGHV4-NL_12	1441538	IgM	data-IgM	77	100
IGHV4-NL_16	414620	IgM	data-IgM	77	100
IGHV4-144	865611	IgM	data-IgM	77	100
IGHV4-NL_3	1130577	IgM	data-IgM	77	100
IGHV4-NL_36	1629105	IgM	data-IgM	77	100
IGHV4-149	1124107	IgM	data-IgM	77	100
IGHV3-88	1295762	IgM	data-IgM	77	100
IGHV3-9	67750	IgM	data-IgM	77	100
IGHV4-144	2119548	IgM	data-IgM	77	100
IGHV4-149	337146	IgM	data-IgM	77	100
IGHV4-149	1961465	IgM	data-IgM	77	100
IGHV4-NL_37	475426	IgM	data-IgM	77	100
IGHV3-122	2005053	IgM	data-IgM	77	100
IGHV4-NL_10	260702	IgM	data-IgM	77	100
IGHV4-117	1774272	IgM	data-IgM	77	100
IGHV4-NL_29	150562	IgM	data-IgM	77	100
IGHV4-NL_3	546864	IgM	data-IgM	77	100
IGHV4-NL_1	682687	IgM	data-IgM	77	100
IGHV4-NL_3	1002236	IgM	data-IgM	77	100
IGHV4-NL_12	2182821	IgM	data-IgM	77	100
IGHV4-NL_36	429584	IgM	data-IgM	77	100
IGHV4-NL_3	1617930	IgM	data-IgM	77	100
IGHV4-NL_3	2032140	IgM	data-IgM	77	100
IGHV3-36	1370172	IgM	data-IgM	77	100
IGHV4-NL_4	661522	IgM	data-IgM	77	100
IGHV3-88	697019	IgM	data-IgM	77	100
IGHV4-NL_13	657479	IgM	data-IgM	77	100
IGHV4-NL_3	1744593	IgM	data-IgM	77	100
IGHV2-69	2084671	IgM	data-IgM	77	100
IGHV3-177	63834	IgM	data-IgM	77	100
IGHV4-NL_27	324666	IgM	data-IgM	77	100
IGHV4-NL_10	732438	IgM	data-IgM	77	100
IGHV2-69	963355	IgM	data-IgM	77	100
IGHV4-NL_4	674178	IgM	data-IgM	77	100
IGHV3-NL_10	1465245	IgM	data-IgM	77	100
IGHV4-NL_21	524749	IgM	data-IgM	77	100
IGHV4-NL_21	1892198	IgM	data-IgM	77	100
IGHV4-93	470548	IgM	data-IgM	77	100
IGHV4-NL_9	2082623	IgM	data-IgM	77	100
IGHV3-177	1397603	IgM	data-IgM	77	100
IGHV3-36	2014813	IgM	data-IgM	77	100
IGHV3-NL_9	1355896	IgM	data-IgM	77	100
IGHV4-NL_3	1514802	IgM	data-IgM	77	100
IGHV4-NL_12	1387812	IgM	data-IgM	77	100
IGHV3-NL_10	130771	IgM	data-IgM	77	100
IGHV4-NL_13	1951914	IgM	data-IgM	77	100
IGHV4-NL_29	735096	IgM	data-IgM	77	100
IGHV4-117	1362537	IgM	data-IgM	77	100
IGHV4-NL_10	1604608	IgM	data-IgM	77	100
IGHV3-52	1211968	IgM	data-IgM	77	100
IGHV4-149	514316	IgM	data-IgM	77	100
IGHV2-69	1728460	IgM	data-IgM	77	100
IGHV4-NL_29	150761	IgM	data-IgM	77	100
IGHV4-NL_29	1213465	IgM	data-IgM	77	100
IGHV3-187	1712107	IgM	data-IgM	77	100
IGHV4-144	1246227	IgM	data-IgM	77	100
IGHV4-NL_3	718006	IgM	data-IgM	77	100
IGHV4-NL_22	224659	IgM	data-IgM	77	100
IGHV4-NL_3	1621004	IgM	data-IgM	77	100
IGHV4-NL_4	1516825	IgM	data-IgM	77	100
IGHV4-NL_10	570235	IgM	data-IgM	77	100
IGHV3-52	1558031	IgM	data-IgM	77	100
IGHV1-138	1496764	IgM	data-IgM	77	100
IGHV4-NL_33	2286692	IgM	data-IgM	77	100
IGHV4-NL_13	1950950	IgM	data-IgM	77	100
IGHV4-NL_13	2409909	IgM	data-IgM	77	100
IGHV3-36	2095565	IgM	data-IgM	77	100
IGHV3-NL_10	1948163	IgM	data-IgM	77	100
IGHV4-144	1596541	IgM	data-IgM	77	100
IGHV4-NL_25	982897	IgM	data-IgM	77	100
IGHV4-149	1123767	IgM	data-IgM	77	100
IGHV3-NL_17	304791	IgM	data-IgM	77	100
IGHV4-144	2392184	IgM	data-IgM	77	100
IGHV4-NL_3	1152670	IgM	data-IgM	77	100
IGHV4-93	958584	IgM	data-IgM	77	100
IGHV4-149	1300157	IgM	data-IgM	77	100
IGHV3-NL_10	1206398	IgM	data-IgM	77	100
IGHV4-149	1351142	IgM	data-IgM	77	100
IGHV3-NL_10	201386	IgM	data-IgM	77	100
IGHV4-NL_27	770814	IgM	data-IgM	77	100
IGHV4-NL_25	2336510	IgM	data-IgM	77	100
IGHV4-NL_3	388968	IgM	data-IgM	77	100
IGHV4-NL_13	2450530	IgM	data-IgM	77	100
IGHV4-NL_21	2265443	IgM	data-IgM	78	100
IGHV4-NL_29	311245	IgM	data-IgM	78	100
IGHV4-NL_28	1372554	IgM	data-IgM	78	100
IGHV6-1	1911388	IgM	data-IgM	78	100
IGHV3-88	2078141	IgM	data-IgM	78	100
IGHV4-NL_25	504512	IgM	data-IgM	78	100
IGHV4-NL_21	1421450	IgM	data-IgM	78	100
IGHV4-NL_4	1676003	IgM	data-IgM	78	100
IGHV4-NL_21	2035442	IgM	data-IgM	78	100
IGHV1-138	924048	IgM	data-IgM	78	100
IGHV4-117	1896973	IgM	data-IgM	78	100
IGHV4-NL_25	2336510	IgM	data-IgM	78	100
IGHV4-NL_3	544328	IgM	data-IgM	78	100
IGHV5-15	2038777	IgM	data-IgM	78	100
IGHV4-NL_3	1132574	IgM	data-IgM	78	100
IGHV4-NL_4	2283693	IgM	data-IgM	78	100
IGHV2-69	691775	IgM	data-IgM	78	100
IGHV4-117	1362537	IgM	data-IgM	78	100
IGHV4-NL_36	291197	IgM	data-IgM	78	100
IGHV4-NL_22	561563	IgM	data-IgM	78	100
IGHV4-NL_3	1133001	IgM	data-IgM	78	100
IGHV4-117	713076	IgM	data-IgM	78	100
IGHV4-NL_6	259597	IgM	data-IgM	78	100
IGHV4-NL_25	1706440	IgM	data-IgM	78	100
IGHV4-144	2271971	IgM	data-IgM	78	100
IGHV3-88	1295762	IgM	data-IgM	78	100
IGHV4-144	2277998	IgM	data-IgM	78	100
IGHV4-NL_33	2131719	IgM	data-IgM	78	100
IGHV4-NL_12	1819682	IgM	data-IgM	78	100
IGHV3-88	697019	IgM	data-IgM	78	100
IGHV4-NL_22	2036692	IgM	data-IgM	78	100
IGHV4-NL_33	992729	IgM	data-IgM	78	100
IGHV3-36	2264906	IgM	data-IgM	78	100
IGHV4-117	23838	IgM	data-IgM	78	100
