clone_id	IsotypeList	Donor count	CDR3aa len
25703	IgM	1	12
25704	IgM	1	12
25705	IgM	1	12
25706	IgM	1	12
25707	IgM	1	12
25708	IgM	1	12
25709	IgM	1	12
25710	IgM	1	12
25711	IgM	1	12
25712	IgM	1	12
25713	IgM	1	12
25714	IgM	1	12
25715	IgM	1	12
25716	IgM	1	12
25717	IgM	1	12
25718	IgM	1	12
25719	IgM	1	12
25720	IgM	1	12
25721	IgM	1	12
25722	IgM	1	12
25723	IgM	1	12
25724	IgM	1	12
25725	IgM	1	12
25726	IgM	1	12
25727	IgM	1	12
25728	IgM	1	12
25729	IgM	1	12
25730	IgM	1	12
25731	IgM	1	12
25732	IgM	1	12
25733	IgM	1	12
25734	IgM	1	12
25735	IgM	1	12
25736	IgM	1	12
25737	IgM	1	12
25738	IgM	1	12
25739	IgM	1	12
25740	IgM	1	12
25741	IgM	1	12
25742	IgM	1	12
25743	IgM	1	12
25744	IgM	1	12
25745	IgM	1	12
25746	IgM	1	12
25747	IgM	1	12
25748	IgM	1	12
25749	IgM	1	12
25750	IgM	1	12
25751	IgM	1	12
25752	IgM	1	12
25753	IgM	1	12
25754	IgM	1	12
25755	IgM	1	12
25756	IgM	1	12
25757	IgM	1	12
25758	IgM	1	12
25759	IgM|IgG	1	12
25760	IgM	1	12
25761	IgM	1	12
25762	IgM	1	12
25763	IgM	1	12
25764	IgM	1	12
25765	IgM	1	12
25766	IgM	1	12
25767	IgM	1	12
25768	IgM	1	12
26389	IgM	1	12
26390	IgM	1	12
26391	IgM	1	12
26392	IgM	1	12
26393	IgM	1	12
26394	IgM	1	12
26395	IgM	1	12
26396	IgM	1	12
26397	IgM	1	12
26398	IgM	1	12
26399	IgM|IgA	1	12
26400	IgM	1	12
26401	IgM	1	12
26402	IgM	1	12
26877	IgM|IgA|IgG	1	12
26933	IgM	1	12
26934	IgM	1	12
26935	IgM	1	12
26936	IgM	1	12
26937	IgM	1	12
26938	IgM	1	12
26939	IgM	1	12
26940	IgM	1	12
26941	IgM	1	12
26942	IgM	1	12
27192	IgM	1	12
27264	IgM|IgA|IgD|IgE|IgG	2	12
27471	IgM	1	12
27593	IgM	1	12
27594	IgM	1	12
27595	IgM	1	12
27596	IgM	1	12
27597	IgM	1	12
27598	IgM	1	12
27616	IgM	1	12
28171	IgM	1	12
28487	IgM	1	12
28488	IgM	1	12
28489	IgM	1	12
28918	IgM	1	12
28953	IgM|IgG	1	12
28957	IgM	1	12
28958	IgM	1	12
28959	IgM	1	12
28960	IgM	1	12
28961	IgM	1	12
28962	IgM	1	12
28963	IgM	1	12
28964	IgM	1	12
28965	IgM	1	12
28966	IgM	1	12
28967	IgM	1	12
28968	IgM	1	12
28969	IgM	1	12
28970	IgM	1	12
28971	IgM	1	12
28972	IgM	1	12
28973	IgM	1	12
28974	IgM	1	12
28982	IgM|IgA|IgG	1	12
29403	IgM	1	12
29551	IgM	1	12
29652	IgM|IgA|IgG	1	12
29664	IgM|IgA|IgG	1	12
29735	IgM	1	12
29736	IgM	1	12
29737	IgM	1	12
29738	IgM	1	12
29739	IgM	1	12
29740	IgM	1	12
29741	IgM	1	12
29742	IgM	1	12
29743	IgM	1	12
29756	IgM|IgA	1	12
30054	IgM	1	12
30055	IgM	1	12
30056	IgM	1	12
30127	IgM	1	12
30135	IgM	1	12
30139	IgM	1	12
30216	IgM	1	12
30336	IgM	1	12
30365	IgM	2	12
30424	IgM	1	12
30425	IgM	1	12
30426	IgM	1	12
30427	IgM	1	12
30428	IgM	1	12
30429	IgM	1	12
30430	IgM	1	12
30431	IgM	1	12
30432	IgM	1	12
30433	IgM	2	12
30434	IgM	1	12
30435	IgM	1	12
30436	IgM	1	12
30437	IgM	1	12
30438	IgM	1	12
30439	IgM	1	12
30440	IgM	1	12
30441	IgM	1	12
30442	IgM	1	12
30443	IgM	1	12
30444	IgM	1	12
30445	IgM	1	12
30446	IgM	1	12
31031	IgM	1	12
31421	IgM	1	12
31422	IgM	1	12
31423	IgM	1	12
31424	IgM	1	12
31425	IgM	1	12
31426	IgM	1	12
32047	IgM	1	12
32048	IgM	1	12
32049	IgM	1	12
32050	IgM	1	12
32051	IgM	1	12
32052	IgM	1	12
32053	IgM	1	12
32054	IgM	1	12
32055	IgM	1	12
32056	IgM	1	12
32057	IgM	1	12
32058	IgM	1	12
32059	IgM	1	12
32060	IgM	1	12
32061	IgM	1	12
32062	IgM	1	12
32063	IgM	1	12
32064	IgM	1	12
32065	IgM	1	12
32066	IgM	1	12
32067	IgM	1	12
32068	IgM	1	12
32069	IgM	1	12
32070	IgM	1	12
32071	IgM	1	12
32461	IgM	1	12
32462	IgM	1	12
32709	IgM	1	12
32911	IgM	1	12
32912	IgM	1	12
32913	IgM	1	12
32914	IgM	1	12
32915	IgM	1	12
32916	IgM	1	12
32917	IgM	1	12
32918	IgM|IgA|IgG	1	12
32919	IgM	1	12
32920	IgM	1	12
32921	IgM	1	12
32922	IgM	1	12
32923	IgM	1	12
32924	IgM	1	12
32925	IgM	1	12
32926	IgM	1	12
32927	IgM	1	12
32928	IgM	1	12
32929	IgM	1	12
32930	IgM	1	12
32931	IgM	1	12
32943	IgM	1	12
32967	IgM|IgA	1	12
33212	IgM	1	12
33213	IgM	1	12
33412	IgM	1	12
33413	IgM	1	12
33414	IgM	1	12
33575	IgM	1	12
33842	IgM	1	12
33843	IgM	1	12
33844	IgM	1	12
33845	IgM	1	12
33846	IgM	1	12
33847	IgM	1	12
33848	IgM	1	12
33849	IgM	1	12
33850	IgM	1	12
33851	IgM	1	12
33852	IgM	1	12
33853	IgM	1	12
33854	IgM	1	12
33855	IgM	1	12
33856	IgM	1	12
33857	IgM	1	12
33858	IgM	1	12
34493	IgM|IgA|IgG	1	12
34503	IgM|IgG	1	12
34632	IgM	1	12
34633	IgM	1	12
34634	IgM	1	12
34635	IgM	1	12
34636	IgM	1	12
35297	IgM	1	12
35298	IgM	1	12
35448	IgM	2	12
35467	IgM	1	12
35521	IgM	1	12
35522	IgM	1	12
35523	IgM	1	12
35524	IgM	1	12
35525	IgM	1	12
35526	IgM	1	12
35527	IgM	1	12
35528	IgM	1	12
35529	IgM	1	12
35530	IgM	1	12
35531	IgM	1	12
35532	IgM	1	12
35533	IgM	1	12
35534	IgM	1	12
35535	IgM	1	12
35536	IgM	1	12
35537	IgM	1	12
35538	IgM	1	12
35539	IgM	1	12
35540	IgM	1	12
35541	IgM	1	12
35542	IgM	1	12
35543	IgM	1	12
35544	IgM	1	12
35545	IgM	1	12
35546	IgM	1	12
35547	IgM	1	12
35548	IgM	1	12
35549	IgM	1	12
35550	IgM	1	12
35551	IgM	1	12
35552	IgM	1	12
35553	IgM	1	12
35554	IgM	1	12
35555	IgM	1	12
35556	IgM	1	12
35557	IgM	1	12
35558	IgM	1	12
35559	IgM	1	12
35560	IgM	1	12
35561	IgM	1	12
35562	IgM	1	12
35563	IgM	1	12
35564	IgM	1	12
35565	IgM	1	12
35566	IgM	1	12
35567	IgM	1	12
35568	IgM	1	12
35569	IgM	1	12
35570	IgM	1	12
35571	IgM	1	12
35572	IgM	1	12
35573	IgM	1	12
35574	IgM	1	12
35575	IgM	1	12
35576	IgM	1	12
35577	IgM	1	12
35578	IgM	1	12
35579	IgM	1	12
35580	IgM	1	12
35581	IgM	1	12
35582	IgM	1	12
35583	IgM	1	12
35584	IgM	1	12
35585	IgM	1	12
36230	IgM	1	12
36231	IgM	1	12
36232	IgM	1	12
36386	IgM	2	12
36397	IgM	1	12
36398	IgM	1	12
36399	IgM	1	12
36400	IgM	1	12
36401	IgM	1	12
36402	IgM	1	12
36403	IgM	1	12
36404	IgM	1	12
36405	IgM	1	12
36406	IgM	1	12
36407	IgM	1	12
36408	IgM	1	12
36409	IgM	1	12
36410	IgM	1	12
36411	IgM|IgA|IgG	1	12
36412	IgM	1	12
36413	IgM	1	12
36414	IgM	1	12
36415	IgM	1	12
36416	IgM	1	12
36417	IgM	1	12
36418	IgM	1	12
36419	IgM	1	12
36420	IgM	1	12
36421	IgM	1	12
36422	IgM	1	12
36437	IgM|IgA	1	12
36439	IgM	1	12
36785	IgM	1	12
36857	IgM	1	12
37085	IgM	2	12
37086	IgM	1	12
37087	IgM	1	12
37125	IgM	1	12
37126	IgM	1	12
37733	IgM	1	12
37903	IgM	1	12
37904	IgM	1	12
38273	IgM	1	12
38274	IgM	1	12
38275	IgM	1	12
38276	IgM	1	12
38611	IgM	1	12
38612	IgM	1	12
38894	IgM	1	12
38895	IgM	1	12
38896	IgM	1	12
38897	IgM	1	12
38898	IgM	1	12
38899	IgM	1	12
38900	IgM	1	12
38901	IgM	1	12
38902	IgM	1	12
38903	IgM	1	12
38904	IgM	1	12
38905	IgM	1	12
38906	IgM	1	12
38907	IgM	1	12
38908	IgM	1	12
38909	IgM	1	12
38910	IgM	1	12
38911	IgM	1	12
38912	IgM	1	12
38913	IgM	1	12
39317	IgM	1	12
39318	IgM	1	12
39706	IgM	1	12
39714	IgM	1	12
39715	IgM	1	12
39716	IgM	1	12
40596	IgM|IgA	1	12
40729	IgM	1	12
40795	IgM	1	12
40959	IgM	1	12
40960	IgM	1	12
40961	IgM	1	12
40962	IgM	1	12
40963	IgM	1	12
40964	IgM	1	12
40965	IgM|IgA	2	12
40966	IgM|IgA	1	12
40967	IgM	1	12
40968	IgM	1	12
40969	IgM	1	12
40970	IgA|IgM|IgE|IgG	1	12
40971	IgM	1	12
40972	IgM	1	12
40973	IgM	1	12
40974	IgM	1	12
40975	IgM	1	12
40976	IgM	1	12
40977	IgM	1	12
40978	IgM	1	12
41521	IgM	1	12
41549	IgM	1	12
41550	IgM	1	12
41558	IgM	1	12
41604	IgM	1	12
41613	IgM	1	12
41614	IgM	1	12
41615	IgM	1	12
41616	IgM	1	12
41664	IgM	1	12
41797	IgM	1	12
41798	IgM	1	12
41923	IgM	1	12
41998	IgM	1	12
42132	IgM	1	12
42185	IgM	1	12
42186	IgM	1	12
42237	IgM	1	12
42247	IgM	1	12
42379	IgM	1	12
