clone_id	SHM	Tissue	Group	TissueList	Tissue Count
20505	1.1235955056179776	Gastric_pylorus	Private	Gastric_pylorus	1
20540	2.890528905289053	Gastric_pylorus	Private	Gastric_pylorus	1
20551	0.3690036900369004	Gastric_pylorus	Private	Gastric_pylorus	1
20555	1.8656716417910446	Gastric_pylorus	Private	Gastric_pylorus	1
20559	1.8382352941176467	Gastric_pylorus	Private	Gastric_pylorus	1
20560	2.5830258302583027	Gastric_pylorus	Private	Gastric_pylorus	1
20651	1.1029411764705885	Gastric_pylorus	Private	Gastric_pylorus	1
20734	2.5925925925925926	Gastric_pylorus	Private	Gastric_pylorus	1
20762	3.6764705882352935	Gastric_pylorus	Private	Gastric_pylorus	1
20899	1.8450184501845008	Gastric_pylorus	Private	Gastric_pylorus	1
20900	6.343283582089552	Gastric_pylorus	Private	Gastric_pylorus	1
20901	5.139694254085397	Gastric_pylorus	Private	Gastric_pylorus	1
20902	5.535055350553505	Gastric_pylorus	Private	Gastric_pylorus	1
20903	2.205882352941177	Gastric_pylorus	Private	Gastric_pylorus	1
20904	3.505535055350553	Gastric_pylorus	Private	Gastric_pylorus	1
20905	5.166051660516605	Gastric_pylorus	Private	Gastric_pylorus	1
20906	1.8450184501845017	Gastric_pylorus	Private	Gastric_pylorus	1
20907	1.4705882352941175	Gastric_pylorus	Private	Gastric_pylorus	1
20908	1.486988847583643	Gastric_pylorus	Private	Gastric_pylorus	1
20909	0.7407407407407408	Gastric_pylorus	Private	Gastric_pylorus	1
20910	2.941176470588235	Gastric_pylorus	Private	Gastric_pylorus	1
20911	2.9411764705882355	Gastric_pylorus	Private	Gastric_pylorus	1
21157	4.119850187265918	Gastric_pylorus	Private	Gastric_pylorus	1
21158	2.573529411764706	Gastric_pylorus	Private	Gastric_pylorus	1
21480	0.3676470588235294	Gastric_pylorus	Private	Gastric_pylorus	1
21481	0.3676470588235294	Gastric_pylorus	Private	Gastric_pylorus	1
21482	6.985294117647059	Gastric_pylorus	Private	Gastric_pylorus	1
22128	4.37956204379562	Gastric_pylorus	Private	Gastric_pylorus	1
22129	5.185185185185185	Gastric_pylorus	Private	Gastric_pylorus	1
22130	0.0	Gastric_pylorus	Private	Gastric_pylorus	1
22133	13.432835820895523	Gastric_pylorus	Private	Gastric_pylorus	1
22134	8.88888888888889	Gastric_pylorus	Private	Gastric_pylorus	1
22140	7.011070110701105	Gastric_pylorus	Private	Gastric_pylorus	1
22144	2.511773940345369	Gastric_pylorus	Private	Gastric_pylorus	1
22145	2.5830258302583027	Gastric_pylorus	Private	Gastric_pylorus	1
22231	4.029304029304029	Gastric_pylorus	Private	Gastric_pylorus	1
22410	1.098901098901099	Gastric_pylorus	Private	Gastric_pylorus	1
22576	0.3676470588235294	Gastric_pylorus	Private	Gastric_pylorus	1
22730	2.5735294117647056	Gastric_pylorus	Private	Gastric_pylorus	1
22785	7.2992700729927	Gastric_pylorus	Private	Gastric_pylorus	1
22786	1.4652014652014653	Gastric_pylorus	Private	Gastric_pylorus	1
22787	2.205882352941177	Gastric_pylorus	Private	Gastric_pylorus	1
22788	1.8450184501845017	Gastric_pylorus	Private	Gastric_pylorus	1
22789	1.098901098901099	Gastric_pylorus	Private	Gastric_pylorus	1
22790	0.7326007326007327	Gastric_pylorus	Private	Gastric_pylorus	1
23158	4.363636363636364	Gastric_pylorus	Private	Gastric_pylorus	1
23450	4.411764705882353	Gastric_pylorus	Private	Gastric_pylorus	1
23958	4.797047970479705	Gastric_pylorus	Private	Gastric_pylorus	1
23971	7.462686567164177	Gastric_pylorus	Private	Gastric_pylorus	1
24327	7.380073800738007	Gastric_pylorus	Private	Gastric_pylorus	1
24830	4.528301886792453	Gastric_pylorus	Private	Gastric_pylorus	1
24831	6.25	Gastric_pylorus	Private	Gastric_pylorus	1
26943	1.111111111111111	Gastric_pylorus	Private	Gastric_pylorus	1
28153	1.4652014652014653	Gastric_pylorus	Private	Gastric_pylorus	1
28176	0.0	Gastric_pylorus	Private	Gastric_pylorus	1
28177	4.411764705882353	Gastric_pylorus	Private	Gastric_pylorus	1
28348	6.150061500615006	Gastric_pylorus	Private	Gastric_pylorus	1
28411	1.8450184501845017	Gastric_pylorus	Private	Gastric_pylorus	1
28419	4.901960784313725	Gastric_pylorus	Private	Gastric_pylorus	1
28422	3.3457249070631967	Gastric_pylorus	Private	Gastric_pylorus	1
28900	4.275092936802974	Gastric_pylorus	Private	Gastric_pylorus	1
28901	0.3690036900369004	Gastric_pylorus	Private	Gastric_pylorus	1
28902	2.973977695167286	Gastric_pylorus	Private	Gastric_pylorus	1
28903	2.5735294117647056	Gastric_pylorus	Private	Gastric_pylorus	1
28904	0.0	Gastric_pylorus	Private	Gastric_pylorus	1
28905	5.555555555555555	Gastric_pylorus	Private	Gastric_pylorus	1
28906	1.4705882352941175	Gastric_pylorus	Private	Gastric_pylorus	1
28907	0.3703703703703704	Gastric_pylorus	Private	Gastric_pylorus	1
28980	5.035971223021583	Gastric_pylorus	Private	Gastric_pylorus	1
28983	2.877697841726619	Gastric_pylorus	Private	Gastric_pylorus	1
29403	1.4388489208633095	Gastric_pylorus	Private	Gastric_pylorus	1
29575	2.057761732851986	Gastric_pylorus	Private	Gastric_pylorus	1
29642	3.237410071942446	Gastric_pylorus	Private	Gastric_pylorus	1
