clone_id	SHM	SHM count	Donor count	Donor	Tissue	Isotype
262386	0.0	0.0	1.0	CCM2	BM	IgM
262387	0.026022304832713755	7.0	1.0	CCM2	BM	IgM
262769	0.003663003663003663	1.0	1.0	CCM2	BM	IgM
262950	0.10622710622710622	29.0	1.0	CCM2	BM	IgM
262951	0.0	0.0	1.0	CCM2	BM	IgM
262952	0.02909090909090909	8.0	1.0	CCM2	BM	IgM
262953	0.0	0.0	1.0	CCM2	BM	IgM
263205	0.0	0.0	1.0	CCM2	BM	IgM
263206	0.008454106280193236	2.3333333333333335	1.0	CCM2	BM	IgM
263207	0.0	0.0	1.0	CCM2	BM	IgM
263311	0.025925925925925925	7.0	1.0	CCM2	BM	IgM
263627	0.0	0.0	1.0	CCM2	BM	IgM
263631	0.006038647342995169	1.6666666666666667	1.0	CCM2	BM	IgM
263637	0.0	0.0	1.0	CCM2	BM	IgM
263638	0.0	0.0	1.0	CCM2	BM	IgM
263639	0.0	0.0	1.0	CCM2	BM	IgM
263640	0.0	0.0	1.0	CCM2	BM	IgM
263658	0.022058823529411766	6.0	1.0	CCM2	BM	IgM
263716	0.0	0.0	1.0	CCM2	BM	IgM
263770	0.01838235294117647	5.0	1.0	CCM2	BM	IgM
263771	0.03260869565217391	9.0	1.0	CCM2	BM	IgM
263799	0.018518518518518517	5.0	1.0	CCM2	BM	IgM
263800	0.007380073800738007	2.0	1.0	CCM2	BM	IgM
263962	0.0	0.0	1.0	CCM2	BM	IgM
263981	0.0	0.0	1.0	CCM2	BM	IgM
263983	0.03185185185185185	8.6	1.0	CCM2	BM	IgM
264001	0.05925925925925925	16.0	1.0	CCM2	BM	IgM
264002	0.06296296296296296	17.0	1.0	CCM2	BM	IgM
264074	0.0	0.0	1.0	CCM2	BM	IgM
264075	0.0	0.0	1.0	CCM2	BM	IgM
264076	0.0	0.0	1.0	CCM2	BM	IgM
264077	0.0	0.0	1.0	CCM2	BM	IgM
264229	0.0	0.0	1.0	CCM2	BM	IgM
264456	0.0	0.0	1.0	CCM2	BM	IgM
264457	0.0	0.0	1.0	CCM2	BM	IgM
264458	0.01107011070110701	3.0	1.0	CCM2	BM	IgM
264459	0.02197802197802198	6.0	1.0	CCM2	BM	IgM
264460	0.0	0.0	1.0	CCM2	BM	IgM
264461	0.025735294117647058	7.0	1.0	CCM2	BM	IgM
264508	0.0036363636363636364	1.0	1.0	CCM2	BM	IgM
264539	0.05947955390334572	16.0	1.0	CCM2	BM	IgM
264544	0.05238970588235295	14.25	1.0	CCM2	BM	IgM
264546	0.02952029520295203	8.0	1.0	CCM2	BM	IgM
264547	0.04428044280442804	12.0	1.0	CCM2	BM	IgM
264601	0.04059040590405904	11.0	2.0	CCM2	BM	IgM
264612	0.022304832713754646	6.0	2.0	CCM2	BM	IgM
264629	0.04428044280442804	12.0	2.0	CCM2	BM	IgM
264760	0.09225092250922509	25.0	1.0	CCM2	BM	IgM
264761	0.12177121771217712	33.0	1.0	CCM2	BM	IgM
264762	0.07011070110701106	19.0	1.0	CCM2	BM	IgM
264763	0.025830258302583026	7.0	1.0	CCM2	BM	IgM
264764	0.05204460966542751	14.0	1.0	CCM2	BM	IgM
264765	0.04797047970479705	13.0	1.0	CCM2	BM	IgM
264766	0.06273062730627306	17.0	2.0	CCM2	BM	IgM
264767	0.022304832713754646	6.0	1.0	CCM2	BM	IgM
264768	0.0	0.0	1.0	CCM2	BM	IgM
264769	0.014814814814814815	4.0	1.0	CCM2	BM	IgM
264770	0.02952029520295203	8.0	1.0	CCM2	BM	IgM
264771	0.04797047970479705	13.0	1.0	CCM2	BM	IgM
264772	0.025830258302583026	7.0	2.0	CCM2	BM	IgM
264773	0.023985239852398525	6.5	1.0	CCM2	BM	IgM
264774	0.05904059040590406	16.0	2.0	CCM2	BM	IgM
264775	0.055762081784386616	15.0	1.0	CCM2	BM	IgM
264776	0.026515151515151516	7.0	1.0	CCM2	BM	IgM
264777	0.04797047970479705	13.0	1.0	CCM2	BM	IgM
264778	0.06642066420664207	18.0	2.0	CCM2	BM	IgM
264779	0.04797047970479705	13.0	1.0	CCM2	BM	IgM
264780	0.01838235294117647	5.0	1.0	CCM2	BM	IgM
264781	0.02214022140221402	6.0	1.0	CCM2	BM	IgM
265281	0.04044117647058824	11.0	1.0	CCM2	BM	IgM
265284	0.022058823529411766	6.0	1.0	CCM2	BM	IgM
265285	0.06985294117647059	19.0	1.0	CCM2	BM	IgM
265286	0.007352941176470588	2.0	1.0	CCM2	BM	IgM
265478	0.05514705882352941	15.0	1.0	CCM2	BM	IgM
265479	0.0	0.0	1.0	CCM2	BM	IgM
265666	0.0	0.0	2.0	CCM2	BM	IgM
265667	0.0	0.0	1.0	CCM2	BM	IgM
265668	0.08791208791208792	24.0	1.0	CCM2	BM	IgM
266138	0.0	0.0	1.0	CCM2	BM	IgM
266255	0.0072992700729927005	2.0	1.0	CCM2	BM	IgM
266450	0.02214022140221402	6.0	1.0	CCM2	BM	IgM
266451	0.01838235294117647	5.0	1.0	CCM2	BM	IgM
266452	0.015037593984962405	4.0	1.0	CCM2	BM	IgM
266453	0.018518518518518517	5.0	1.0	CCM2	BM	IgM
266454	0.022304832713754646	6.0	1.0	CCM2	BM	IgM
266455	0.0	0.0	1.0	CCM2	BM	IgM
266456	0.02952029520295203	8.0	1.0	CCM2	BM	IgM
266457	0.025735294117647058	7.0	1.0	CCM2	BM	IgM
266458	0.025735294117647058	7.0	1.0	CCM2	BM	IgM
267016	0.11481481481481481	31.0	1.0	CCM2	BM	IgM
267017	0.007434944237918215	2.0	1.0	CCM2	BM	IgM
267018	0.01107011070110701	3.0	1.0	CCM2	BM	IgM
267019	0.007462686567164179	2.0	1.0	CCM2	BM	IgM
267020	0.04059040590405904	11.0	1.0	CCM2	BM	IgM
267021	0.025925925925925925	7.0	1.0	CCM2	BM	IgM
267022	0.007380073800738007	2.0	1.0	CCM2	BM	IgM
267023	0.0	0.0	1.0	CCM2	BM	IgM
